LOCATION,Switch Name,IP Address,MODEL,INV NUMBER,Default Vlan,Special Ports
,,,,,,
BUNGALOWS,,,,,,
8K-(Teacher Lounge),LAKE-C3560X-48P-400-StaffLnge-2,10.66.128.193,C3560,,Vlan39,
8K-(Teacher Lounge),LAKE-C9300-48UXM-RM8112,10.66.128.168,C9300 ,,Vlan39,
,,,,,,
8210-(410),LAKE-C3560X-48P-410-1,10.66.128.232,C3560,,Vlan39,
8210-(410),LAKE-C3560X-48P-410-2,10.66.128.231,C3560,,Vlan39,
8210-(410),LAKE-C9300-48UXM-RM8210,10.66.128.167,C9300,,Vlan39,
,,,,,,
9000 Building (was 500),,,,,,
9K-(9122),LAKE-C3560X-48P-501-1,10.66.128.230,C3560,,Vlan39,
9K-Projection Booth,LAKE-C9300-48UXM-ProjectorRM,10.66.128.165,C9300,,Vlan39,
,,,,,,
10K Building (was 300),,,,,,
10K-(10102),LAKE-C3560X-48P-10102-2,10.66.128.179,C3560,,Vlan34,
10K-(10102),LAKE-C3560X-48P-10102-1,10.66.128.180,C3560,,Vlan34,
,,,,,,
10K-(10107):South-Upper,LAKE-C3850-48P-317-3,10.66.128.243,C3850,,Vlan34,
10K-(10107):South-Upper,LAKE-C3560X-48P-317-2,10.66.128.244,C3560,,Vlan34,
10K-(10107):South-Upper,LAKE-C3560X-48P-317-1,10.66.128.245,C3560,,Vlan34,
10K-(10107):South-Upper,LAKE-C3560X-48P-317-5,10.66.128.241,C3560,,Vlan34,
10K-(10107):South-Lower,LAKE-C3560X-48P-317-7,10.66.128.239,,,Vlan34,
10K-(10107):South-Lower,LAKE-C3560X-48P-317-6,10.66.128.240,C3560,,Vlan34,
10K-(10107):North,LAKE-C3560X-48P-317-4,10.66.128.242,C3560,,Vlan34,
,,,,,,
10K-(10204),LAKE-C9300-48UXM-Bldg-300,10.66.128.170,C9300,,Vlan34,
10K-(10204),LAKE-C3560X-48P-320-1,10.66.128.238,C3560,,Vlan34,
10K-(10204),LAKE-C3560X-48P-320-2,10.66.128.237,C3560,,Vlan34,
10K-(10204),LAKE-C3560X-48P-320-3,10.66.128.235,C3560,,Vlan34,
10K-(10204),LAKE-C3850-48P-320-4,10.66.128.236,C3850,,Vlan34,
,,,,,,
10K-(10207),LAKE-C3850-48P-RM332-2,10.66.128.174,C3850,,Vlan34,
10K-(10207),LAKE-C3560X-48P-332-1,10.66.128.234,C3560,,Vlan34,
